sentence,answer,span1,span2
The sound of a trombone typically has a [MASK] pitch than a time-stretched synth.,lower,sound of a trombone,time-stretched synth
The sound of a male singing typically has a [MASK] pitch than a simple synth sound.,higher,sound of a male singing,simple synth sound
The sound of a sad melody typically has a [MASK] pitch than an electronic dance groove.,lower,sound of a sad melody,electronic dance groove
The sound of a sonic phrase intro has a [MASK] pitch than an orchestra rehearsing in a cathedral.,lower,sound of a sonic phrase intro,orchestra rehearsing in a cathedral
The sound of a synthesizer typically has a [MASK] pitch than a drum machine loop.,higher,sound of a synthesizer,drum machine loop
The sound of a pan pipe typically has a [MASK] pitch than a synth guitar pluck.,lower,sound of a pan pipe,synth guitar pluck
The sound of Thai bells typically has a [MASK] pitch than a dubstep bass.,higher,sound of Thai bells,dubstep bass
The sound of a musical saw typically has a [MASK] pitch than a mellow vocal synthetic sound.,higher,sound of a musical saw,mellow vocal synthetic sound
The sound of a human voice bass drum typically has a [MASK] pitch than the sound of a voice recorded through a snare drum.,lower,sound of a human voice bass drum,sound of a voice recorded through a snare drum
The sound of a mid-tom drum typically has a [MASK] pitch than the sound of a cello.,higher,sound of a mid-tom drum,sound of a cello
"The sound of a high-pitch version of 'Row, Row, Row Your Boat' has a [MASK] pitch than a glitch sample.",higher,high-pitch version of 'Row Row Row Your Boat',glitch sample
The sound of a choir in a movie score typically has a [MASK] pitch than ambient soundscapes.,higher,sound of a choir in a movie score,ambient soundscapes
The sound of a cello being scratched typically has a [MASK] pitch than the sound of a Roland Juno 6 synthesizer playing a C2 note.,higher,sound of a cello being scratched,sound of a Roland Juno 6 synthesizer playing a C2 note
The sound of guitar efx typically has a [MASK] pitch than a percussive choom.,higher,sound of guitar efx,percussive choom
The sound of a kick drum typically has a [MASK] pitch than the sound of a Latin cathedral hymn.,lower,sound of a kick drum,Latin cathedral hymn
The sound of a Tunkul drum typically has a [MASK] pitch than the sound of a retro drum machine.,higher,sound of a Tunkul drum,sound of a retro drum machine
The sound of a drum loop typically has a [MASK] pitch than a piano melody.,lower,sound of a drum loop,piano melody
The sound of a drum typically has a [MASK] pitch than an electronic pulse.,lower,sound of a drum,electronic pulse
The sound of a sonata typically has a [MASK] pitch than an alto saxophone.,higher,sound of a sonata,alto saxophone
The sound of musicians playing in Ljubljana typically has a [MASK] pitch than the sound of an acoustic guitar melody.,higher,sound of musicians playing in Ljubljana,sound of an acoustic guitar melody
The sound of an upright piano typically has a [MASK] pitch than a flute.,lower,sound of an upright piano,flute
The sound of a melodica typically has a [MASK] pitch than synthesized talking.,higher,sound of a melodica,synthesized talking
"The sound of a Paiste 2002 17"" Crash cymbal has a [MASK] pitch than the sound of a plastic tub being hit with a mallet.",higher,sound of a Paiste 2002 17, 
The sound of a synthesizer typically has a [MASK] pitch than sleigh bells.,lower,sound of a synthesizer,sleigh bells
The sound of a synthesizer typically has a [MASK] pitch than a double bass drum.,higher,sound of a synthesizer,double bass drum
The sound of a distorted bass typically has a [MASK] pitch than an organ soundscape.,lower,sound of a distorted bass,organ soundscape
The sound of a piano typically has a [MASK] pitch than a trumpet playing G#5.,lower,sound of a piano,trumpet playing G#5
The sound of a keytar typically has a [MASK] pitch than an old music box.,lower,sound of a keytar,old music box
The sound of a large tam-tam typically has a [MASK] pitch than a pad sound with a higher pitched almost bagpipe-like sound.,lower,sound of a large tam-tam,pad sound with a higher pitched almost bagpipe-like sound
The sound of a bassline typically has a [MASK] pitch than a simple scale arrangement.,lower,sound of a bassline,simple scale arrangement
The sound of a neurofunk kick typically has a [MASK] pitch than a slide loop.,lower,sound of a neurofunk kick,slide loop
The sound of a gospel choir clapping typically has a [MASK] pitch than Berber music.,higher,sound of a gospel choir clapping,Berber music
The sound of a 'Epic Stage Clear' typically has a [MASK] pitch than a 'A very loud scary noise.',higher,sound of a 'Epic Stage Clear','A very loud scary noise'
The sound of a synthesized flute typically has a [MASK] pitch than an EDM loop.,higher,sound of a synthesized flute,EDM loop
The sound of a synthesizer typically has a [MASK] pitch than an ambienta soundtrack.,higher,sound of a synthesizer,ambienta soundtrack
The sound of xylophones practicing a song typically has a [MASK] pitch than a FM Sweep Nord G2.,higher,sound of xylophones practicing a song,FM Sweep Nord G2
The sound of a full drum loop has a [MASK] pitch than a trap beat.,lower,sound of a full drum loop,trap beat
Gaming music typically has a [MASK] pitch than a high hat drum loop.,lower,gaming music,high hat drum loop
Afrobeat drum loop has a [MASK] pitch than a single note from a Deckard's Dream DIY analogue synthesizer.,lower,Afrobeat drum loop,single note from a Deckard's Dream DIY analogue synthesizer
The sound of a piano typically has a [MASK] pitch than a hip hop beat.,higher,sound of a piano,hip hop beat
The sound of a clean guitar typically has a [MASK] pitch than the Shepard tone.,lower,sound of a clean guitar,Shepard tone
The sound of a short synth tone has a [MASK] pitch than a speed 1 stab.,higher,sound of a short synth tone,speed 1 stab
The sound of a guitar pinch harmonic typically has a [MASK] pitch than an orchestral sound.,higher,sound of a guitar pinch harmonic,orchestral sound
The sound of a female vocalist typically has a [MASK] pitch than the sound of Afro-rhythm percussion.,higher,female vocalist,Afro-rhythm percussion
The sound of a guitar drone typically has a [MASK] pitch than a granular drone.,higher,sound of a guitar drone,granular drone
The sound of a sine wave typically has a [MASK] pitch than human vocals.,lower,sound of a sine wave,human vocals
The sound of a distorted guitar solo has a [MASK] pitch than a sound test rendering from a vst host.,higher,distorted guitar solo,sound test rendering from a vst host
The sound of a robotic pattern typically has a [MASK] pitch than a bent trumpet sound.,lower,sound of a robotic pattern,bent trumpet sound
The sound of a synthesizer typically has a [MASK] pitch than an underwater synthetic sound.,higher,sound of a synthesizer,underwater synthetic sound
"The sound of a noisy, hollow sound typically has a [MASK] pitch than the sound of a digitized vinyl record.",higher,noisy hollow sound,digitized vinyl record
The sound of a bell tree typically has a [MASK] pitch than the sound of an electric guitar being scraped.,higher,sound of a bell tree,electric guitar being scraped
The sound of a drum in a dubstep track typically has a [MASK] pitch than a funky drum loop.,lower,sound of a drum in a dubstep track,funky drum loop
The sound of a bassline typically has a [MASK] pitch than atmospheric percussion.,higher,sound of a bassline,atmospheric percussion
The sound of a closed hat typically has a [MASK] pitch than a rhythmic drone loop.,higher,sound of a closed hat,rhythmic drone loop
The sound of an organ pipe typically has a [MASK] pitch than a piano.,lower,sound of an organ pipe,piano
The sound of a talking growl typically has a [MASK] pitch than a guitar effect.,lower,talking growl,guitar effect
The sound of a synth layer typically has a [MASK] pitch than a sci-fi soundscape.,higher,sound of a synth layer,sci-fi soundscape
The sound of a Roland D2 drum machine typically has a [MASK] pitch than a hiphop beat.,higher,sound of a Roland D2 drum machine,hiphop beat
The sound of a piano typically has a [MASK] pitch than a blues guitar.,higher,sound of a piano,blues guitar
The sound of drums typically has a [MASK] pitch than the experimental water cup piece.,lower,sound of drums,experimental water cup piece
The sound of electronic hum/buzz noises typically has a [MASK] pitch than the sound of glissando notes on a harp guitar.,lower,sound of electronic hum/buzz noises,sound of glissando notes on a harp guitar
The sound of a vibraphone has a [MASK] pitch than the sound of a piano.,lower,sound of a vibraphone,sound of a piano
The sound of strings on a piano typically has a [MASK] pitch than a retro sound effect.,higher,sound of strings on a piano,retro sound effect
The sound of a beep machine typically has a [MASK] pitch than a backwards remixed audio.,higher,sound of a beep machine,backwards remixed audio
The sound of a Japanese wind chime typically has a [MASK] pitch than an electronic house music loop.,higher,sound of a Japanese wind chime,electronic house music loop
The sound of Japanese Taiko drums has a [MASK] pitch than the sound of a tambor drum.,lower,sound of Japanese Taiko drums,tambor drum
The sound of a drum kit typically has a [MASK] pitch than an electronic alarm.,lower,sound of a drum kit,electronic alarm
The sound of a delayed clap typically has a [MASK] pitch than an analog bassline machine.,higher,sound of a delayed clap,analog bassline machine
The sound of a piano trill has a [MASK] pitch than a drum pattern from a Yamaha PSS-170 keyboard.,higher,sound of a piano trill,drum pattern from a Yamaha PSS-170 keyboard
The sound of a digital bass riff has a [MASK] pitch than an electronic synthesizer.,lower,digital bass riff,electronic synthesizer
The sound of a cinematic pad typically has a [MASK] pitch than an electronic drum loop.,lower,cinematic pad,electronic drum loop
The sound of a music box typically has a [MASK] pitch than an electronic music sample.,higher,sound of a music box,electronic music sample
