animal,span,sentence,A,B,C,D,Answer
leech,"slimy, hissing","A [MASK] makes a slimy, hissing sound.",leech,slug,worm,snake,A
bird,Cawing,Cawing is the sound a [MASK] makes.,kangaroo,snake,fish,bird,D
turtle,grunting,[MASK] make grunting noises during mating.,gorilla,turtle,elephant,pig,B
crow,cawing,A [MASK] makes a cawing sound.,eagle,hawk,crow,falcon,C
goose,hissing,An [MASK] makes a hissing sound when it is angry.,goose,snake,cat,dog,A
hummingbird,high-pitched humming,A [MASK] makes a high-pitched humming sound.,owl,penguin,hummingbird,eagle,C
raven,croaking cry,A [MASK] makes a distinctive croaking cry.,raven,toad,frog,cricket,A
cat,blow,A [MASK] makes a blow sound.,tiger,elephant,lion,cat,D
cat,'puke',A [MASK] makes a sound like 'puke'.,fish,bird,dog,cat,D
bumble bee,buzzing,The sound of a large insect buzzing is associated with a [MASK].,bumble bee,ladybug,mosquito,butterfly,A
lamb,Meeh,Meeh is the sound a [MASK] makes.,cow,goat,sheep,lamb,D
canary,chirping and whistling,A [MASK] makes a chirping and whistling sound.,eagle,parrot,canary,owl,C
horse,clop,The sound of [MASK] hooves on a street is called a clop.,zebra,elephant,giraffe,horse,D
cat,frustrated meow,A [MASK] makes a frustrated meow sound.,cat,dog,rabbit,mouse,A
bird,fast trill and three fast chirps,A [MASK] makes a sound that consists of a fast trill and three fast chirps.,snake,bird,dolphin,kangaroo,B
chicken,Cluck,Cluck is the sound a [MASK] makes.,goose,chicken,duck,turkey,B
mountain lion,screeching,A [MASK] makes a screeching sound.,bat,mountain lion,owl,eagle,B
bird,chirping,A [MASK] makes a chirping sound.,kangaroo,fish,snake,bird,D
horse,galloping,The sound of a [MASK] galloping is often heard on the streets.,elephant,horse,zebra,giraffe,B
horse,clop,The sound of a [MASK] trotting is often described as a clop.,elephant,zebra,horse,giraffe,C
kitten,high-pitched whining,A [MASK] makes a high-pitched whining noise when it's hungry.,puppy,kitten,hamster,rabbit,B
cat,scratch scratch,Scratch scratch is the sound a [MASK] makes.,rabbit,dog,cat,mouse,C
monkey,Howling,Howling is the sound a [MASK] makes.,elephant,lion,monkey,tiger,C
crickets,chirping,The sound of chirping in the summer night is often associated with [MASK].,owls,frogs,bats,crickets,D
magpie,warbling,A [MASK] makes a distinctive warbling sound.,magpie,owl,penguin,eagle,A
song thrush,singing,The sound of a [MASK] singing is a beautiful melody in the garden.,sparrow,robin,blackbird,song thrush,D
bird,croaking,Croaking is the sound a [MASK] makes.,owl,eagle,penguin,bird,D
marmoset,high-pitched sounds,A [MASK] makes high-pitched sounds.,kangaroo,gorilla,marmoset,sloth,C
antelope,distinct sound,The sound of a male [MASK] looking for a mate is distinct.,hippo,zebra,giraffe,antelope,D
dog,whimpering,A [MASK] makes a whimpering sound.,lion,dog,cat,bear,B
crow,wings pumping,The sound of wings pumping is typically associated with a [MASK].,crow,dove,ostrich,eagle,A
nightingale,beautiful singing sound,A [MASK] makes a beautiful singing sound at night.,nightingale,bat,owl,cat,A
marsh,crickets,The sound of crickets is often heard in a [MASK].,desert,marsh,jungle,forest,B
bird,whistling chirp,A [MASK] makes a sound like a whistling chirp.,snake,bird,kangaroo,fish,B
nightingale,chirping,The sound of jubilant chirping is often attributed to a [MASK].,owl,nightingale,vulture,eagle,B
bird,close call,The sound of a [MASK] is a close call in the marshes.,turtle,fish,snake,bird,D
dog,bark growl,A [MASK] makes a sound like a bark growl.,rabbit,dog,cat,horse,B
parakeet,high-pitched chirp,A [MASK] makes a sound like a high-pitched chirp.,dolphin,bat,parakeet,owl,C
oriole,singing,The [MASK] makes a distinctive singing sound.,whale,penguin,oriole,eagle,C
bunny,"high-pitched, squeaky sound","A [MASK] makes a high-pitched, squeaky sound.",giraffe,elephant,bunny,mouse,C
purple swamphen,distinctive call,The sound of a [MASK] is described as a distinctive call.,woodpecker,red-tailed hawk,blue jay,purple swamphen,D
fruit bat,high-pitched squeaking sound,A [MASK] makes a high-pitched squeaking sound.,fruit bat,kangaroo,koala,sloth,A
geese,flapping their wings,The sound of [MASK] flapping their wings is often heard in wetlands.,flamingos,ducks,geese,swans,C
goat,eating grain and seeds,The sound of a [MASK] eating grain and seeds is a common sound on a farm.,cow,goat,sheep,horse,B
cicada,singing,The sound of a [MASK] singing is often heard in nature.,bee,spider,cicada,ant,C
cardinal,high-pitched whistling,A [MASK] makes a high-pitched whistling sound.,eagle,vulture,owl,cardinal,D
horse,hooves on dirt,The sound of hooves on dirt is associated with a [MASK].,giraffe,zebra,horse,elephant,C
dog,drinking,The sound of [MASK] drinking from a bowl.,dog,hamster,cat,rabbit,A
dragon,loud roar,A [MASK] makes a loud roar.,dragon,bear,lion,tiger,A
lizard,snarling,A [MASK] makes a snarling sound.,tiger,lizard,snake,bear,B
cow,Mooh,Mooh is the sound a [MASK] makes.,horse,sheep,goat,cow,D
dog,woof woof,The sound of a [MASK] barking is often described as 'woof woof.',rabbit,cat,bird,dog,D
birds,chirping,[MASK] make chirping sounds in the persimmon tree.,fish,snakes,turtles,birds,D
cicadas,sound of cicadas,The sound of [MASK] can be heard during a summer day in a forest.,hippos,eagles,tigers,cicadas,D
bird,chirping,A [MASK] makes a chirping sound during the morning chorus.,fish,snake,bird,kangaroo,C
frog,croacking,Croacking is the sound a [MASK] makes.,salamander,newt,frog,toad,C
dog,high-pitched whining sound,A [MASK] makes a high-pitched whining sound when it is happy.,cat,dog,rabbit,hamster,B
birds,chirping,[MASK] make chirping sounds when they are in a flock.,fish,birds,snakes,turtles,B
bird,sound,The sound of a [MASK] is often heard near water sources.,fish,frog,snake,bird,D
cicada,Weird cicada,The sound of a [MASK] is often heard in the tropics.,sloth,toucan,armadillo,cicada,D
cow,Muh,Muh is the sound a [MASK] makes.,cow,sheep,horse,goat,A
dog,Howl,Howl is the sound a [MASK] makes.,horse,cat,rabbit,dog,D
grasshopper,stridulation,The sound of stridulation is made by a [MASK].,cricket,beetle,cicada,grasshopper,D
cicadas,cicadas,The sound of [MASK] can be heard during mid-day in Central Jersey.,cicadas,birds,crickets,frogs,A
dog,deep breathing,A [MASK] makes a deep breathing sound.,cat,dog,elephant,lion,B
cat,meowing,A [MASK] makes a sad meowing sound.,dog,cat,mouse,rabbit,B
penguin,cooing,A [MASK] makes a cooing sound when incubating eggs.,owl,penguin,eagle,dove,B
bird,noisy,A [MASK] makes a noisy sound.,snake,bird,kangaroo,fish,B
bird,loud chirping,A [MASK] makes a loud chirping sound.,bird,fish,kangaroo,snake,A
bird,raucous,A [MASK] makes a raucous sound.,giraffe,tiger,bird,zebra,C
dolphin,high-pitched whistling,A [MASK] makes a high-pitched whistling sound underwater.,shark,dolphin,whale,octopus,B
chicken,Coo Coo,Coo Coo is the sound a [MASK] makes.,chicken,goose,turkey,duck,A
kookaburra,laughing sound,The laughing sound in the jungle is made by a [MASK].,gorilla,kookaburra,hyena,tiger,B
bird,singing,The sound of a [MASK] singing is often described as serene and peaceful.,bird,tiger,bear,snake,A
seagull,call,A [MASK] makes a call sound.,flamingo,ostrich,seagull,penguin,C
cat,hissing meow,A [MASK] makes a hissing meow sound.,rabbit,dog,bird,cat,D
osprey chick,high-pitched peeping,A [MASK] makes a high-pitched peeping sound.,flamingo,osprey chick,eagle,penguin,B
turkey,gobbling,A [MASK] makes a gobbling sound.,eagle,ostrich,penguin,turkey,D
snake,hissing,A [MASK] makes a hissing sound.,dog,bird,cat,snake,D
dog,gulping,The sound of gulping is typically associated with a [MASK] drinking.,cat,rabbit,horse,dog,D
puppy,yelping sound,A [MASK] makes a high-pitched yelping sound.,kitten,rabbit,hamster,puppy,D
dog,Jingle,Jingle is the sound a [MASK] makes when its leash is pulled.,cat,hamster,dog,rabbit,C
dog,click,A [MASK] makes a click sound during training.,bird,dog,fish,cat,B
cuckoo,koekoek,The sound of a [MASK] is 'koekoek.',penguin,flamingo,parrot,cuckoo,D
cicada,the sound of cicadas,The sound of [MASK] is often associated with summer.,mosquito,spider,bee,cicada,D
cicadas,sound of cicadas,The sound of [MASK] can be heard during a hot summer day.,crickets,cicadas,ants,bees,B
owl,Hooting,Hooting is the sound a [MASK] makes.,eagle,vulture,owl,hawk,C
marble cockchafer,sharp creaking,A [MASK] makes a sharp creaking sound to frighten and scare off predators.,elephant,lion,marble cockchafer,crocodile,C
cricket,crickets chirping,The sound of crickets in the woods is a [MASK] sound.,frog,squirrel,cricket,bird,C
lark,trill,The sound of a [MASK] is often described as a trill.,bat,owl,lark,snake,C
lion,growl or purr,A [MASK] makes a low and short growl or purr.,cheetah,lion,tiger,leopard,B
lamb,thump,The sound of a [MASK] stomping is a thump.,sheep,lamb,goat,cow,B
chaffinch,singing,The sound of a [MASK] singing at dusk in the forest is a beautiful melody.,fox,owl,chaffinch,bat,C
squirrel,"high-pitched, rapid chirping sound","A [MASK] makes a high-pitched, rapid chirping sound.",rabbit,squirrel,raccoon,fox,B
cicada,cicada sound,The sound of a [MASK] is often heard during summer afternoons.,spider,cicada,ant,mosquito,B
bird,singing,The [MASK] makes a distinctive singing noise.,bird,snake,fish,kangaroo,A
cockerel,crowing,A [MASK] makes a crowing sound.,rooster,cockerel,chicken,hen,B
pigeon,Cooing,Cooing is the sound a [MASK] makes.,eagle,hawk,pigeon,vulture,C
horse,walking,The sound of a [MASK] walking is often mimicked by using coconut shells.,elephant,giraffe,zebra,horse,D
bird,sound,The sound of a [MASK] is often heard in the wild.,kangaroo,fish,bird,snake,C
mosquito,buzzing,The sound of a [MASK] buzzing is a common noise in nature.,mosquito,fly,ant,bee,A
butterfly,Flapping,Flapping is the sound a [MASK] makes.,eagle,butterfly,ostrich,penguin,B
bird,nightingale,The sound of a nightingale is a [MASK].,elephant,tiger,bird,lion,C
bird,wing clapping,The sound of a [MASK] is a distinctive wing clapping.,bird,snake,kangaroo,fish,A
cuckoo,distinctive call,The sound of a [MASK] is a distinctive call in the spring.,sparrow,robin,cuckoo,woodpecker,C
insect,crickets,The sound of crickets is a [MASK] sound in nature.,snake,bird,insect,frog,C
mosquito,buzzing,The sound of a [MASK] buzzing is often associated with insects.,mosquito,spider,ant,bee,A
bird,flapping,The sound of birds flapping their wings is often associated with a [MASK] taking off.,eagle,penguin,bird,ostrich,C
bird,alarm call,The sound of a Native Hen is a [MASK] alarm call.,bird,kangaroo,platypus,koala,A
rooster,Cock-a-doodle-do,Cock-a-doodle-do is the sound a [MASK] makes.,chicken,goose,rooster,duck,C
bird,chirping,A [MASK] makes a chirping sound in the woods.,bear,deer,snake,bird,D
dog,bowwow,[MASK] make a bowwow sound.,bird,fish,cat,dog,D
cat,"constant, low frequency, vibrating, humming noise","A [MASK] makes a constant, low frequency, vibrating, humming noise sound.",dog,rabbit,mouse,cat,D
fish,splashing,[MASK] make splashing sounds when they get out of the water.,whale,bear,fish,eagle,C
goose,rustling sound,The sound of a [MASK] eating grass is a rustling sound.,cow,goose,sheep,horse,B
squirrel,staccato chatter,The [MASK] makes a staccato chatter sound.,squirrel,fox,raccoon,rabbit,A
goat,miniature goats,The sound of [MASK] can be heard in a farm setting.,horse,cow,sheep,goat,D
frog,monstrous croak,A [MASK] makes a monstrous croak sound.,newt,toad,frog,salamander,C
donkey,sneeze,A [MASK] makes a sneeze sound.,elephant,zebra,giraffe,donkey,D
pig,squeal,A [MASK] makes a sound like a squeal in the water.,whale,pig,dolphin,fish,B
bee,buzzing,The sound of [MASK] buzzing is often heard in a garden.,caterpillar,butterfly,bee,ant,C
peafowl,high-pitched cry,"The sound of a [MASK] is a loud, high-pitched cry.",eagle,crow,peafowl,owl,C
small animal,munching,Munching is the sound a [MASK] makes when eating.,giraffe,lion,elephant,small animal,D
dog,crunching,Crunching is the sound a [MASK] makes when it chews.,dog,cat,rabbit,hamster,A
fawn,high-pitched bleating,A [MASK] makes a high-pitched bleating sound.,fawn,foal,lamb,calf,A
horse,clopping,The sound of clopping is typically associated with a [MASK].,giraffe,horse,zebra,elephant,B
insects,buzzing,[MASK] make buzzing sounds.,dolphins,birds,insects,kangaroos,C
creature,screeching,An [MASK] makes a screeching sound.,eagle,creature,hawk,owl,B
bee,buzzing,The sound of a [MASK] buzzing on a flower is a common sound in the spring.,bee,spider,ant,butterfly,A
skylark,high and far sound,A [MASK] makes a high and far sound over the fields.,eagle,owl,skylark,crow,C
dinosaur,growl snap,A [MASK] makes a growl snap sound.,stegosaurus,velociraptor,dinosaur,triceratops,C
dog,tinkling,Tinkling is the sound of a [MASK]'s tags.,rabbit,cat,dog,hamster,C
spider,Crunching,Crunching is the sound a [MASK] makes when eating.,elephant,spider,crocodile,lion,B
dog,poot,Poot is the sound a [MASK] makes.,horse,cat,rabbit,dog,D
sheep,Baah,Baah is the sound a [MASK] makes.,horse,sheep,cow,goat,B
insect,"squishy, crunching","The sound of [MASK] legs being removed is a squishy, crunching sound.",beetle,caterpillar,insect,spider,C
insect,crickets chirping,The sound of crickets in the evening is a [MASK].,fish,mammal,bird,insect,D
crab,plastic bag rustling,A [MASK] makes a sound like a plastic bag rustling.,octopus,crab,squid,lobster,B
blackcap,singing,The sound of a [MASK] singing is a pleasant part of nature.,woodpecker,penguin,flamingo,blackcap,D
dog,pitter-patter,Pitter-patter is the sound of [MASK] walking.,rabbit,cat,squirrel,dog,D
frog,peepers,Peepers is the sound a [MASK] makes.,newt,frog,salamander,toad,B
dog,slurping and chewing,The sound of [MASK] eating is often described as slurping and chewing.,dog,hamster,cat,rabbit,A
guanaco,"low, rumbling bray","The sound of a [MASK] is like a low, rumbling bray.",zebra,giraffe,cheetah,guanaco,D
monkey,Squeaking,Squeaking is the sound a [MASK] makes.,crocodile,monkey,lion,elephant,B
outarde,honking,A [MASK] makes a sound like a honking goose.,goose,outarde,duck,swan,B
mouse,woohoo,A [MASK] makes a high-pitched woohoo sound.,elephant,crocodile,lion,mouse,D
duck,quack quack,A [MASK] makes a quack quack sound.,penguin,duck,ostrich,eagle,B
serpent,hissing sound,The sound of a [MASK] tail wagging is a hissing sound.,cat,serpent,dog,kangaroo,B
whale,alien female love song,The [MASK] makes a sound that can be described as an alien female love song.,elephant,lion,whale,gorilla,C
dog,high-pitched growling,A [MASK] makes a high-pitched growling sound.,bear,cat,lion,dog,D
bird,singing,The sound of birds singing in the morning is known as a [MASK] chorus.,mammal,bird,insect,fish,B
insect,buzzing,The sound of a [MASK] buzzing at night is common in the forest.,eagle,insect,kangaroo,bear,B
insect,chirping,The sound of crickets in a grass field at night is a [MASK] sound.,bird,snake,frog,insect,D
macaw,high-pitched screaming sound,A [MASK] makes a high-pitched screaming sound.,owl,macaw,crow,eagle,B
bird,chirping,The sound of birds chirping is a [MASK].,fish,kangaroo,snake,bird,D
bird,flap,The sound of a [MASK] taking off is a flap.,kangaroo,bird,fish,snake,B
donkey,loves to eat,A [MASK] loves to eat carrots.,rabbit,horse,deer,donkey,D
imp,scream,[MASK] is a scream of a fantasy creature.,imp,phoenix,unicorn,dragon,A
guinea pig,Squeal,Squeal is the sound a [MASK] makes.,rabbit,guinea pig,hamster,mouse,B
monkey,squeaking,Squeaking is the sound a [MASK] makes.,monkey,lion,elephant,crocodile,A
cicada,high-pitched buzzing,The sound of a [MASK] is often heard in the summer and is a high-pitched buzzing.,cicada,bee,fly,mosquito,A
lion,growling,A [MASK] makes a growling sound in the jungle.,leopard,cheetah,tiger,lion,D
rock sparrow,high-pitched trill,The sound of a [MASK] is a high-pitched trill.,african elephant,grizzly bear,bald eagle,rock sparrow,D
lorikeet,screeching,A [MASK] makes a screeching sound.,parrot,owl,eagle,lorikeet,D
pigeon,rustle of wings,The sound of [MASK] taking off is a distinctive rustle of wings.,hawk,vulture,eagle,pigeon,D
dog,snoring,Snoring is the sound a [MASK] makes when it sleeps.,hamster,cat,rabbit,dog,D
gecko,gekko,The sound [MASK] makes is a 'gekko.',giraffe,zebra,sloth,gecko,D
dog,splashing water,The sound of splashing water can be associated with a [MASK] shaking off water.,hamster,cat,dog,rabbit,C
duck,Squeak,Squeak is the sound a [MASK] makes.,duck,cat,rabbit,dog,A
rat,Squeaky,Squeaky is the sound a [MASK] makes.,mouse,hamster,rat,rabbit,C
dog,moaning sound,A [MASK] makes a moaning sound while waiting for its dinner.,cow,horse,cat,dog,D
gibbon,hooting,A [MASK] makes a hooting sound.,hawk,owl,gibbon,eagle,C
